hypothesis	split_strategy	contrast_name	model_name	baseline_model	metric	held_out_groups	observed_model_value	observed_baseline_value	observed_delta	bootstrap_iterations	valid_bootstrap_iterations	bootstrap_ci95_low	bootstrap_ci95_high	interpretation
H1_spot_interaction_receptor_layer	cold_host	boundary_reviewed_rbpbase_increment_over_host_KO	rbpbase_boundary_reviewed_plus_host_KO_rate	host_KO_rate	pooled_average_precision	200	0.043848	0.040386	0.003462	200	200	0.000637	0.011546	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_host	pharokka_increment_over_rbpbase	pharokka_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	200	0.062626	0.044360	0.018266	200	200	0.006849	0.034144	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_host	phold_increment_over_rbpbase	phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	200	0.069625	0.044360	0.025265	200	200	0.010014	0.043646	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_host	phold_new_increment_over_rbpbase	phold_new_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	200	0.042975	0.044360	-0.001385	200	200	-0.007776	0.005492	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	pharokka_phold_increment_over_rbpbase	pharokka_phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	200	0.069625	0.044360	0.025265	200	200	0.010345	0.041747	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_host	domain_module_increment_over_rbpbase	domain_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	200	0.238142	0.044360	0.193782	200	200	0.111199	0.279667	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_host	structural_module_increment_over_rbpbase	structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	200	0.058287	0.044360	0.013927	200	200	-0.004121	0.032026	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	domain_structural_module_increment_over_rbpbase	domain_structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	200	0.238706	0.044360	0.194346	200	200	0.113680	0.295320	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_host	domain_structural_module_vs_genome_similarity	domain_structural_module_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	200	0.238706	0.258266	-0.019560	200	200	-0.090065	0.042238	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	union_increment_over_rbpbase	receptor_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	200	0.079508	0.044360	0.035148	200	200	0.017542	0.051530	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_host	boundary_reviewed_union_increment_over_exact_union	receptor_boundary_reviewed_plus_host_KO_rate	receptor_plus_host_KO_rate	pooled_average_precision	200	0.080794	0.079508	0.001286	200	200	-0.002207	0.005043	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	boundary_reviewed_union_vs_genome_similarity	receptor_boundary_reviewed_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	200	0.080794	0.258266	-0.177472	200	200	-0.239253	-0.129886	Group-bootstrap CI is below zero; model underperforms baseline in this benchmark split.
H1_spot_interaction_receptor_layer	cold_host	primary_receptor_union_vs_genome_similarity	receptor_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	200	0.079508	0.258266	-0.178758	200	200	-0.235910	-0.125598	Group-bootstrap CI is below zero; model underperforms baseline in this benchmark split.
H1_spot_interaction_receptor_layer	cold_phage	rbpbase_increment_over_host_KO	rbpbase_plus_host_KO_rate	host_KO_rate	pooled_average_precision	105	0.071841	0.054113	0.017728	200	200	-0.004010	0.058455	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
