hypothesis	split_strategy	contrast_name	model_name	baseline_model	metric	model_value	baseline_value	delta	interpretation
H1_spot_interaction_receptor_layer	cold_host	boundary_reviewed_rbpbase_increment_over_host_KO	rbpbase_boundary_reviewed_plus_host_KO_rate	host_KO_rate	pooled_average_precision	0.043848	0.040386	0.003462	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	pharokka_increment_over_rbpbase	pharokka_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.062626	0.044360	0.018266	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	phold_increment_over_rbpbase	phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.069625	0.044360	0.025265	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	phold_new_increment_over_rbpbase	phold_new_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.042975	0.044360	-0.001385	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	pharokka_phold_increment_over_rbpbase	pharokka_phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.069625	0.044360	0.025265	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	domain_module_increment_over_rbpbase	domain_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.238142	0.044360	0.193782	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	structural_module_increment_over_rbpbase	structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.058287	0.044360	0.013927	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	domain_structural_module_increment_over_rbpbase	domain_structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.238706	0.044360	0.194346	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	domain_structural_module_vs_genome_similarity	domain_structural_module_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.238706	0.258266	-0.019560	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	ordered_domain_architecture_increment_over_unordered_domain_module	ordered_domain_architecture_plus_host_KO_rate	domain_module_plus_host_KO_rate	pooled_average_precision	0.256826	0.238142	0.018684	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	ordered_domain_structural_architecture_increment_over_unordered_module_identity	ordered_domain_structural_architecture_plus_host_KO_rate	domain_structural_module_plus_host_KO_rate	pooled_average_precision	0.256826	0.238706	0.018120	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	ordered_domain_structural_architecture_increment_over_rbpbase	ordered_domain_structural_architecture_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.256826	0.044360	0.212466	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	ordered_domain_structural_architecture_vs_genome_similarity	ordered_domain_structural_architecture_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.256826	0.258266	-0.001440	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	union_increment_over_rbpbase	receptor_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.079508	0.044360	0.035148	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	boundary_reviewed_union_increment_over_exact_union	receptor_boundary_reviewed_plus_host_KO_rate	receptor_plus_host_KO_rate	pooled_average_precision	0.080794	0.079508	0.001286	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	boundary_reviewed_union_vs_genome_similarity	receptor_boundary_reviewed_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.080794	0.258266	-0.177472	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_host	primary_receptor_union_vs_genome_similarity	receptor_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.079508	0.258266	-0.178758	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	rbpbase_increment_over_host_KO	rbpbase_plus_host_KO_rate	host_KO_rate	pooled_average_precision	0.071841	0.054113	0.017728	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	boundary_reviewed_rbpbase_increment_over_exact_rbpbase	rbpbase_boundary_reviewed_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.069593	0.071841	-0.002248	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	boundary_reviewed_rbpbase_increment_over_host_KO	rbpbase_boundary_reviewed_plus_host_KO_rate	host_KO_rate	pooled_average_precision	0.069593	0.054113	0.015480	Model has higher pooled AP than baseline in this exploratory split.
