metric	value	status	notes
reviewed_host_mappings	200	pass	data/metadata/assay_source_exports/phagehostlearn_2024_host_id_map.tsv
host_archive_sha256	2859cfd259216608c41cfd0fda2a4a0659e17e61adf2fe856454a622e4200358	pass	data/metadata/external/phagehostlearn/klebsiella_genomes.zip
kaptive_rows	200	pass	non_typeable_or_non_typeable_locus_rows=12
kleborate_rows	188	warning	not_tested_ST_rows=0; mapped_hosts_without_kleborate_row=ERS659577;ERS659578;ERS686709;ERS686711;ERS702127;ERS702132;ERS702133;ERS715472;ERS715473;ERS736962;ERS744787;ERS799797
kaptive_output_sha256	8752c81634de4e43a44aaa40ffa8f17e82d7f1870ec38879407402721d097f6d	pass	data/metadata/production_evidence/kaptive_ko_typing.tsv
kleborate_output_sha256	48486b95e396230e5dc290f25b4f492a9ebf9496264e321f92a0fcb094d94f36	pass	data/metadata/production_evidence/kleborate_host_features.tsv
