source_id	canonical_id	review_status	notes
K13PH07C1S	phagehostlearn_2024_phage_K13PH07C1S	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K14PH164C1	phagehostlearn_2024_phage_K14PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K15PH90	phagehostlearn_2024_phage_K15PH90	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K16PH164C3	phagehostlearn_2024_phage_K16PH164C3	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K17alfa61	phagehostlearn_2024_phage_K17alfa61	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K17alfa62	phagehostlearn_2024_phage_K17alfa62	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K18PH07C1	phagehostlearn_2024_phage_K18PH07C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K19PH14C4P1	phagehostlearn_2024_phage_K19PH14C4P1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K1PH164C1	phagehostlearn_2024_phage_K1PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K1lambda5	phagehostlearn_2024_phage_K1lambda5	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K2064PH2	phagehostlearn_2024_phage_K2064PH2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K2069PH1	phagehostlearn_2024_phage_K2069PH1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K2069PH2	phagehostlearn_2024_phage_K2069PH2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K21lambda1	phagehostlearn_2024_phage_K21lambda1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K22PH164C1	phagehostlearn_2024_phage_K22PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K23PH08C2	phagehostlearn_2024_phage_K23PH08C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K24PH164C1	phagehostlearn_2024_phage_K24PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K25PH129C1	phagehostlearn_2024_phage_K25PH129C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K26PH128C1	phagehostlearn_2024_phage_K26PH128C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K27PH129C1	phagehostlearn_2024_phage_K27PH129C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K28PH129	phagehostlearn_2024_phage_K28PH129	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K29PH164C1	phagehostlearn_2024_phage_K29PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K2PH164C1	phagehostlearn_2024_phage_K2PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K2PH164C2	phagehostlearn_2024_phage_K2PH164C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K2alfa62	phagehostlearn_2024_phage_K2alfa62	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K30lambda2	phagehostlearn_2024_phage_K30lambda2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K31PH164	phagehostlearn_2024_phage_K31PH164	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K32PH164C1	phagehostlearn_2024_phage_K32PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K33PH14C2	phagehostlearn_2024_phage_K33PH14C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K34PH164	phagehostlearn_2024_phage_K34PH164	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K35PH164C3	phagehostlearn_2024_phage_K35PH164C3	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K36PH128C2B	phagehostlearn_2024_phage_K36PH128C2B	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K37PH164C1	phagehostlearn_2024_phage_K37PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K38PH09C2	phagehostlearn_2024_phage_K38PH09C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K39PH122C2	phagehostlearn_2024_phage_K39PH122C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K3PH164	phagehostlearn_2024_phage_K3PH164	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K40PH129C1	phagehostlearn_2024_phage_K40PH129C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K41P2	phagehostlearn_2024_phage_K41P2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K42PH8	phagehostlearn_2024_phage_K42PH8	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K43PH164C1	phagehostlearn_2024_phage_K43PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K44PH129C1	phagehostlearn_2024_phage_K44PH129C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K45PH128C2	phagehostlearn_2024_phage_K45PH128C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K46PH129	phagehostlearn_2024_phage_K46PH129	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K47PH6	phagehostlearn_2024_phage_K47PH6	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K48PH164C1	phagehostlearn_2024_phage_K48PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K49PH164C2	phagehostlearn_2024_phage_K49PH164C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K4PH164	phagehostlearn_2024_phage_K4PH164	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K50PH164C1	phagehostlearn_2024_phage_K50PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K51PH129C1	phagehostlearn_2024_phage_K51PH129C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K52PH129C1	phagehostlearn_2024_phage_K52PH129C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K53PH164C2	phagehostlearn_2024_phage_K53PH164C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K54lambda1	phagehostlearn_2024_phage_K54lambda1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K54lambda2	phagehostlearn_2024_phage_K54lambda2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K55P2_1	phagehostlearn_2024_phage_K55P2_1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K56PH164C1	phagehostlearn_2024_phage_K56PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K57lambda1	phagehostlearn_2024_phage_K57lambda1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K58PH129C2	phagehostlearn_2024_phage_K58PH129C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K59PH2	phagehostlearn_2024_phage_K59PH2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K5lamda5	phagehostlearn_2024_phage_K5lamda5	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K60PH164C1	phagehostlearn_2024_phage_K60PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K61PH164C1	phagehostlearn_2024_phage_K61PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K62PH164C2	phagehostlearn_2024_phage_K62PH164C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K63PH128	phagehostlearn_2024_phage_K63PH128	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K64PH164C4	phagehostlearn_2024_phage_K64PH164C4	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K65PH164	phagehostlearn_2024_phage_K65PH164	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K66PH128C1	phagehostlearn_2024_phage_K66PH128C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K68QB	phagehostlearn_2024_phage_K68QB	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K69PH164C2	phagehostlearn_2024_phage_K69PH164C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K6PH25C3	phagehostlearn_2024_phage_K6PH25C3	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K70PH128C1	phagehostlearn_2024_phage_K70PH128C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K71PH129C1	phagehostlearn_2024_phage_K71PH129C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K72PH164C2	phagehostlearn_2024_phage_K72PH164C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K74PH129C2	phagehostlearn_2024_phage_K74PH129C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K79PH164C1	phagehostlearn_2024_phage_K79PH164C1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K7PH164C2	phagehostlearn_2024_phage_K7PH164C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K7PH164C3	phagehostlearn_2024_phage_K7PH164C3	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K7PH164C4	phagehostlearn_2024_phage_K7PH164C4	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K80P2	phagehostlearn_2024_phage_K80P2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K81P1	phagehostlearn_2024_phage_K81P1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K82P1	phagehostlearn_2024_phage_K82P1	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K8PH128	phagehostlearn_2024_phage_K8PH128	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
K9PH25C2	phagehostlearn_2024_phage_K9PH25C2	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
M12a	phagehostlearn_2024_phage_M12a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
M5a	phagehostlearn_2024_phage_M5a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
M5b	phagehostlearn_2024_phage_M5b	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
P4a	phagehostlearn_2024_phage_P4a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
P4b	phagehostlearn_2024_phage_P4b	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S10a	phagehostlearn_2024_phage_S10a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S11a	phagehostlearn_2024_phage_S11a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
