source_id	canonical_id	review_status	notes
806	phagehostlearn_2024_host_806	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU276	phagehostlearn_2024_host_CU276	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU293	phagehostlearn_2024_host_CU293	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU371	phagehostlearn_2024_host_CU371	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU402	phagehostlearn_2024_host_CU402	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU406	phagehostlearn_2024_host_CU406	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU443	phagehostlearn_2024_host_CU443	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU448	phagehostlearn_2024_host_CU448	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU451	phagehostlearn_2024_host_CU451	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU494	phagehostlearn_2024_host_CU494	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
CU503	phagehostlearn_2024_host_CU503	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS523587	phagehostlearn_2024_host_ERS523587	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS523588	phagehostlearn_2024_host_ERS523588	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS523589	phagehostlearn_2024_host_ERS523589	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS659571	phagehostlearn_2024_host_ERS659571	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS659577	phagehostlearn_2024_host_ERS659577	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS659578	phagehostlearn_2024_host_ERS659578	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS659579	phagehostlearn_2024_host_ERS659579	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS659580	phagehostlearn_2024_host_ERS659580	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS659581	phagehostlearn_2024_host_ERS659581	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS685293	phagehostlearn_2024_host_ERS685293	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS685294	phagehostlearn_2024_host_ERS685294	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS685295	phagehostlearn_2024_host_ERS685295	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS686706	phagehostlearn_2024_host_ERS686706	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS686707	phagehostlearn_2024_host_ERS686707	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS686708	phagehostlearn_2024_host_ERS686708	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS686709	phagehostlearn_2024_host_ERS686709	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS686710	phagehostlearn_2024_host_ERS686710	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS686711	phagehostlearn_2024_host_ERS686711	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS701896	phagehostlearn_2024_host_ERS701896	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS702127	phagehostlearn_2024_host_ERS702127	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS702128	phagehostlearn_2024_host_ERS702128	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS702129	phagehostlearn_2024_host_ERS702129	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
